Word,Start,End,length,time_spent,std_time_spent,speed,post_space,amplitude,pitch,time,var_amplitude,var_pitch,min_var_pitch,avg_var_pitch,max_var_pitch
Cause,0.0,0.54,5,0.54,0.108,9.25925925925926,0.4599999999999999,2.3837415111546294,51.2567489246625,0.27,1.234589084002614,829.0208842562932,6.655241611503196,200.92992053856182,1427.4849108304752
me,1.0,1.18,2,0.1799999999999999,0.0899999999999999,11.111111111111114,0.0,0.487516626131554,,1.09,0.6163886703466874,,6.655241611503196,200.92992053856182,1427.4849108304752
just,1.18,1.64,4,0.4599999999999999,0.1149999999999999,8.695652173913045,0.0,0.1171790674581322,,1.41,1.335045754066886,,6.655241611503196,200.92992053856182,1427.4849108304752
talk,1.64,2.12,4,0.4800000000000002,0.12,8.33333333333333,0.0,1.4223568431692375,,1.88,0.0224208623081617,,6.655241611503196,200.92992053856182,1427.4849108304752
a,2.12,2.7,1,0.5800000000000001,0.5800000000000001,1.7241379310344829,0.0,0.5982930877755214,,2.41,0.4547179549650503,,6.655241611503196,200.92992053856182,1427.4849108304752
bit.,2.7,2.96,4,0.2599999999999998,0.0649999999999999,15.384615384615396,0.7800000000000002,0.4395248536294515,,2.83,0.6940489688914792,,6.655241611503196,200.92992053856182,1427.4849108304752
I,3.74,4.2,1,0.4599999999999999,0.4599999999999999,2.173913043478261,0.0,2.578799393706348,101.9198039443212,3.97,1.706102341437558,478.3114329032297,6.655241611503196,200.92992053856182,1427.4849108304752
see,4.2,4.38,3,0.1799999999999997,0.0599999999999999,16.666666666666693,0.0,1.6177346644393558,62.09407079014368,4.29,0.1191035326040595,322.3964214837338,6.655241611503196,200.92992053856182,1427.4849108304752
like,4.38,4.58,4,0.2000000000000001,0.05,19.999999999999982,0.0,1.1738442282027788,,4.48,0.0097568245377815,,6.655241611503196,200.92992053856182,1427.4849108304752
that,4.58,4.86,4,0.2800000000000002,0.07,14.285714285714272,0.0,1.659425343914401,62.55688290105406,4.720000000000001,0.1496177027121312,305.9906625480935,6.655241611503196,200.92992053856182,1427.4849108304752
this,4.86,5.04,4,0.1799999999999997,0.0449999999999999,22.222222222222257,0.0,1.5617349458196996,61.94004757083639,4.95,0.0835869500867539,327.95124193699604,6.655241611503196,200.92992053856182,1427.4849108304752
is,5.04,5.22,2,0.1799999999999997,0.0899999999999998,11.111111111111128,0.0,2.681281053463244,72.31014520124305,5.13,1.9843235185635328,59.89717450352876,6.655241611503196,200.92992053856182,1427.4849108304752
not,5.22,5.34,3,0.1200000000000001,0.04,24.99999999999998,0.0,1.5726102026398114,,5.279999999999999,0.0899936009943618,,6.655241611503196,200.92992053856182,1427.4849108304752
an,5.34,5.56,2,0.2199999999999997,0.1099999999999998,9.0909090909091,0.0,1.7289157619732056,64.04964618201221,5.449999999999999,0.2082050304131414,255.9944162942304,6.655241611503196,200.92992053856182,1427.4849108304752
"actual,",5.56,5.84,7,0.2800000000000002,0.04,24.99999999999998,0.1200000000000001,1.0001921816250403,,5.699999999999999,0.0742173890721472,,6.655241611503196,200.92992053856182,1427.4849108304752
this,5.96,6.22,4,0.2599999999999998,0.0649999999999999,15.384615384615396,0.0,0.9823878030442597,,6.09,0.0842352319000236,,6.655241611503196,200.92992053856182,1427.4849108304752
is,6.22,6.48,2,0.2600000000000007,0.1300000000000003,7.692307692307672,0.0,1.4572546412137923,50.92221414301756,6.35,0.0340896302706932,848.3971322231254,6.655241611503196,200.92992053856182,1427.4849108304752
like,6.48,6.92,4,0.4399999999999995,0.1099999999999998,9.0909090909091,0.0,1.1113667599203323,,6.7,0.0260028873205762,,6.655241611503196,200.92992053856182,1427.4849108304752
the,6.92,7.24,3,0.3200000000000003,0.1066666666666667,9.374999999999991,0.0,1.3014999291724705,,7.08,0.0008340001835147,,6.655241611503196,200.92992053856182,1427.4849108304752
"super,",7.24,7.56,6,0.3199999999999994,0.0533333333333332,18.75000000000004,0.1000000000000005,0.6823738979060344,,7.4,0.3483914855147943,,6.655241611503196,200.92992053856182,1427.4849108304752
super,7.66,7.8,5,0.1399999999999996,0.0279999999999999,35.71428571428579,0.0,1.3464558027429847,193.3956855550082,7.73,0.0054515976123072,12847.364197474277,6.655241611503196,200.92992053856182,1427.4849108304752
old,7.8,8.22,3,0.4200000000000008,0.1400000000000002,7.142857142857129,0.0,1.2017313398264178,,8.01,0.0050253251818163,,6.655241611503196,200.92992053856182,1427.4849108304752
like.,8.22,9.54,5,1.3199999999999985,0.2639999999999997,3.787878787878792,0.0,0.1640600213633699,,8.879999999999999,1.2289071503382902,,6.655241611503196,200.92992053856182,1427.4849108304752
