Word,Start,End,length,time_spent,std_time_spent,speed,post_space,amplitude,pitch,time,var_amplitude,min_var_pitch,avg_var_pitch,max_var_pitch
"Okay,",2.34,2.58,5,0.2400000000000002,0.048,20.833333333333314,0.48,1.2016530115621091,,2.46,0.0375353218334024,0.0006570133164640104,9.885020571786065,123.1150131644576
so,3.06,3.2,2,0.1400000000000001,0.07,14.285714285714272,0.0,3.054564482331494,104.42978567828592,3.13,2.752848819853727,0.0006570133164640104,9.885020571786065,123.1150131644576
first,3.2,3.38,5,0.1799999999999997,0.0359999999999999,27.77777777777782,0.0,1.6526900616322546,128.62613450476496,3.29,0.0662015937059626,0.0006570133164640104,9.885020571786065,123.1150131644576
and,3.38,3.68,3,0.3000000000000002,0.1,9.999999999999991,0.0,3.1386918997808,115.73079024771307,3.53,3.0390898058152995,0.0006570133164640104,9.885020571786065,123.1150131644576
"foremost,",3.68,3.76,9,0.0799999999999996,0.0088888888888888,112.50000000000053,0.1800000000000001,0.7907766543870732,,3.72,0.3655613582738073,0.0006570133164640104,9.885020571786065,123.1150131644576
I'm,3.94,4.08,3,0.1400000000000001,0.0466666666666667,21.42857142857141,0.0,1.090073518058816,96.30236884632902,4.01,0.0932202046546634,0.0006570133164640104,9.885020571786065,123.1150131644576
a,4.08,4.26,1,0.1799999999999997,0.1799999999999997,5.555555555555564,0.0,1.961795627891634,88.96080204169031,4.17,0.3208115313514678,0.0006570133164640104,9.885020571786065,123.1150131644576
game,4.26,4.44,4,0.1800000000000006,0.0450000000000001,22.222222222222147,0.0,1.860108778567764,117.29803167299656,4.35,0.2159604221241994,0.0006570133164640104,9.885020571786065,123.1150131644576
developer.,4.44,4.72,10,0.2799999999999993,0.0279999999999999,35.71428571428579,0.1600000000000001,1.3766009684420375,,4.58,0.0003531539048644,0.0006570133164640104,9.885020571786065,123.1150131644576
I've,4.88,5.18,4,0.2999999999999998,0.0749999999999999,13.33333333333334,0.0,1.9634489528781764,80.38713593041287,5.029999999999999,0.3226871588855095,0.0006570133164640104,9.885020571786065,123.1150131644576
been,5.18,5.3,4,0.1200000000000001,0.03,33.33333333333331,0.0,1.5861482853014668,109.81248565171188,5.24,0.0363874422941904,0.0006570133164640104,9.885020571786065,123.1150131644576
using,5.3,5.48,5,0.1800000000000006,0.0360000000000001,27.77777777777769,0.0,1.6306723603436653,110.74642768220232,5.390000000000001,0.0553562089492606,0.0006570133164640104,9.885020571786065,123.1150131644576
the,5.48,5.66,3,0.1799999999999997,0.0599999999999999,16.666666666666693,0.0,1.8149173626143755,103.41049119011292,5.57,0.1760003904573649,0.0006570133164640104,9.885020571786065,123.1150131644576
Unity,5.66,5.94,5,0.2800000000000002,0.056,17.85714285714284,0.0,1.5119313988102865,100.55642510220328,5.800000000000001,0.0135811149585896,0.0006570133164640104,9.885020571786065,123.1150131644576
game,5.94,6.26,4,0.3199999999999994,0.0799999999999998,12.500000000000025,0.0,1.7881157782202892,86.19321601175548,6.1,0.1542308993527454,0.0006570133164640104,9.885020571786065,123.1150131644576
engine,6.26,6.56,6,0.2999999999999998,0.0499999999999999,20.00000000000001,0.0,1.1032485655252129,93.55547302885094,6.41,0.0853485797633937,0.0006570133164640104,9.885020571786065,123.1150131644576
for,6.56,6.92,3,0.3600000000000003,0.1200000000000001,8.333333333333327,0.0,1.1562873827433218,61.37722160090309,6.74,0.0571716673979287,0.0006570133164640104,9.885020571786065,123.1150131644576
