Word,Start,End,length,time_spent,std_time_spent,speed,post_space,amplitude,pitch,time
I,3.06,14.66,1,11.6,11.6,0.08620689655172414,0.0,0.6611505084566315,0.42337057810292944,8.86
met,14.66,15.24,3,0.5800000000000001,0.19333333333333336,5.1724137931034475,0.0,1.1279412748700077,0.7678403359978244,14.95
a,15.24,15.5,1,0.2599999999999998,0.2599999999999998,3.8461538461538494,0.0,0.95354665522285,0.8709621083117088,15.370000000000001
traveller,15.5,15.92,9,0.41999999999999993,0.04666666666666666,21.42857142857143,0.0,1.6092327252345533,0.6802767187934294,15.71
from,15.92,16.16,4,0.2400000000000002,0.06000000000000005,16.666666666666654,0.0,1.0127741069386622,0.4798574583026293,16.04
an,16.16,16.44,2,0.28000000000000114,0.14000000000000057,7.142857142857114,0.0,1.144843155887287,0.5715658430739343,16.3
antique,16.44,16.72,7,0.2799999999999976,0.039999999999999654,25.000000000000217,0.0,0.8948152613929052,0.44870932096867533,16.58
"land,",16.72,17.22,5,0.5,0.1,10.0,0.5199999999999996,1.0430464859400308,0.39653038812496905,16.97
who,17.74,17.92,3,0.18000000000000327,0.06000000000000109,16.666666666666362,0.0,1.021864039319999,0.13812109292427216,17.83
"said,",17.92,18.28,5,0.35999999999999943,0.07199999999999988,13.88888888888891,0.879999999999999,1.2682557116455444,0.44549312303581995,18.1
Two,19.16,19.42,3,0.26000000000000156,0.08666666666666718,11.538461538461469,0.0,1.1756334130922326,0.9221077222271135,19.29
vast,19.42,19.88,4,0.4599999999999973,0.11499999999999932,8.695652173913095,0.0,1.5301560263899532,0.7180760312206873,19.65
and,19.88,20.1,3,0.22000000000000242,0.07333333333333414,13.636363636363487,0.0,1.3392635213748179,0.5010219978313892,19.990000000000002
trunkless,20.1,20.5,9,0.3999999999999986,0.04444444444444429,22.50000000000008,0.0,1.2564477475456703,0.5530750687569789,20.3
legs,20.5,20.84,4,0.33999999999999986,0.08499999999999996,11.764705882352946,0.0,1.209686036492139,0.5738847417573368,20.67
of,20.84,21.08,2,0.23999999999999844,0.11999999999999922,8.333333333333387,0.0,0.7591627356025074,0.2493771964986159,20.96
stone,21.08,21.46,5,0.38000000000000256,0.07600000000000051,13.157894736842017,0.0,1.3161147880482622,0.4914338752927029,21.27
stand,21.46,21.88,5,0.41999999999999815,0.08399999999999963,11.904761904761957,0.0,1.1841921163798141,0.4444374514540733,21.67
in,21.88,22.1,2,0.22000000000000242,0.11000000000000121,9.09090909090899,0.0,1.269984933968886,0.5423534018235606,21.990000000000002
the,22.1,22.3,3,0.1999999999999993,0.06666666666666643,15.000000000000053,0.0,1.342637399978923,0.5562905985721573,22.200000000000003
desert.,22.3,22.7,7,0.3999999999999986,0.05714285714285694,17.500000000000064,0.9800000000000004,0.8184779784110464,0.20191578860854092,22.5
Near,23.68,23.96,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.0,1.8508622605785858,0.7031615124778198,23.82
them,23.96,24.26,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.0,1.2939955243504715,0.6140487700202213,24.11
on,24.26,24.46,2,0.1999999999999993,0.09999999999999964,10.000000000000036,0.0,0.9940902005208372,0.524182911495765,24.36
the,24.46,24.72,3,0.259999999999998,0.086666666666666,11.538461538461627,0.0,1.1661885181701754,0.28311067330821627,24.59
sand,24.72,25.02,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.0,0.872946025231016,0.6251356275551957,24.869999999999997
half,25.02,25.34,4,0.3200000000000003,0.08000000000000007,12.49999999999999,0.0,0.9305048595581815,0.5482961351174904,25.18
sunk,25.34,25.74,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.0,0.7478308342220942,0.6453601240211864,25.54
