,Unnamed: 0,Unnamed: 0.1,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,time,post_space,pitch,speed
0,0,0,we,1.3,1.36,0.06,4.54,0,2,0.03,0.3878563263851495,1.33,4.54,120.0678257253754,33.333333333333336
1,1,1,the,5.9,5.9,0.0,8.86,0,3,0.0,,5.9,8.86,,inf
2,2,2,the,14.76,14.76,0.0,0.5400000000000009,0,3,0.0,,14.76,0.5400000000000009,,inf
3,3,3,so,15.3,15.42,0.1199999999999992,0.0999999999999996,1,2,0.0599999999999996,0.4977418370954601,15.36,0.0999999999999996,236.9039173804524,16.666666666666778
4,4,4,today,15.52,15.76,0.2400000000000002,0.0400000000000009,1,5,0.048,0.472345339817822,15.64,0.0400000000000009,229.8894573588478,20.833333333333314
5,5,5,we,15.8,15.86,0.0599999999999987,0.0600000000000005,1,2,0.0299999999999993,0.3846067782806294,15.83,0.0600000000000005,239.81039154468144,33.33333333333405
6,6,6,talked,15.92,16.18,0.2599999999999998,0.0,1,6,0.0433333333333333,0.2179762325370955,16.05,0.0,93.29514737510053,23.076923076923094
7,7,7,about,16.18,16.4,0.2199999999999988,0.0800000000000018,1,5,0.0439999999999997,0.3204692671934587,16.29,0.0800000000000018,101.45083201479518,22.72727272727285
8,8,8,augmenting,16.48,17.18,0.6999999999999993,0.1999999999999993,1,10,0.0699999999999999,0.1781857298575061,16.83,0.1999999999999993,147.54918516492285,14.2857142857143
9,9,9,machine,17.38,17.9,0.5199999999999996,0.0400000000000027,1,7,0.0742857142857142,0.1711153298736945,17.64,0.0400000000000027,170.60136617430405,13.461538461538472
10,10,10,and,17.94,18.06,0.1199999999999974,0.0400000000000027,1,3,0.0399999999999991,0.1375712305116537,18.0,0.0400000000000027,170.02226684794138,25.00000000000054
11,11,11,human,18.1,18.44,0.3399999999999998,0.0999999999999978,1,5,0.0679999999999999,0.1434423758011069,18.270000000000003,0.0999999999999978,157.48415084685828,14.705882352941185
12,12,12,intelligence,18.54,19.26,0.7200000000000024,0.2799999999999976,1,12,0.0600000000000002,0.1372837547652132,18.9,0.2799999999999976,152.30334152055633,16.66666666666661
13,13,13,with,19.54,19.74,0.1999999999999993,0.0600000000000022,1,4,0.0499999999999998,0.1274354040792334,19.64,0.0600000000000022,168.876969483796,20.00000000000007
14,14,14,data,19.8,20.02,0.2199999999999988,0.0399999999999991,1,4,0.0549999999999997,0.2185114384504027,19.91,0.0399999999999991,165.48864398441398,18.18181818181828
15,15,15,visualization,20.06,20.8,0.740000000000002,0.1400000000000005,1,13,0.056923076923077,0.1064220201947629,20.43,0.1400000000000005,134.4413922572226,17.56756756756752
16,16,16,and,20.94,21.88,0.9399999999999976,0.0600000000000022,1,3,0.3133333333333325,0.146560572257395,21.41,0.0600000000000022,186.12505887998137,3.1914893617021356
17,17,17,the,21.94,22.0,0.0599999999999987,0.1000000000000014,1,3,0.0199999999999995,0.2292182367589179,21.97,0.1000000000000014,180.59685632722903,50.00000000000108
18,18,18,interesting,22.1,22.54,0.4399999999999977,0.0399999999999991,1,11,0.0399999999999997,0.2236196103674152,22.32,0.0399999999999991,239.60419104916195,25.000000000000128
19,19,19,thing,22.58,22.94,0.360000000000003,0.259999999999998,1,5,0.0720000000000005,0.1588455880479168,22.76,0.259999999999998,184.12754813654357,13.888888888888774
20,20,20,is,23.2,23.38,0.1799999999999997,0.0199999999999995,1,2,0.0899999999999998,0.1758122608338255,23.29,0.0199999999999995,171.60849217345012,11.11111111111113
21,21,21,that,23.4,23.6,0.2000000000000028,0.1600000000000001,1,4,0.0500000000000007,0.198545496735528,23.5,0.1600000000000001,166.76408562580576,19.999999999999723
22,22,22,data,23.76,23.96,0.1999999999999993,0.0199999999999995,1,4,0.0499999999999998,0.324842121713827,23.86,0.0199999999999995,190.3733906304706,20.00000000000007
23,23,23,visualisation,23.98,24.48,0.5,0.0399999999999991,1,13,0.0384615384615384,0.1818483837910009,24.23,0.0399999999999991,178.5980646366289,26.0
24,24,24,is,24.52,24.6,0.0800000000000018,0.0399999999999991,1,2,0.0400000000000009,0.1875709088130318,24.56,0.0399999999999991,150.38542060044432,24.999999999999435
25,25,25,so,24.64,24.76,0.120000000000001,0.1600000000000001,1,2,0.0600000000000005,0.1841016017964445,24.700000000000003,0.1600000000000001,175.0115424916337,16.66666666666653
26,26,26,interdisciplinary,24.92,25.96,1.0399999999999991,0.5799999999999983,1,17,0.0611764705882352,0.1749329366100992,25.44,0.5799999999999983,156.59789008399892,16.34615384615386
27,27,27,that,26.54,26.88,0.3399999999999998,0.7200000000000024,0,4,0.0849999999999999,0.2859815765379012,26.71,0.7200000000000024,169.34702733391248,11.764705882352947
