Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,post_space,amplitude,pitch,time,speed,isImpWord
i,12.68,12.78,0.1,0.1,0,1,0.1,0.1000000000000014,0.5082891871568813,288.76507045150413,12.73,10.0,True
spend,12.88,13.1,0.22,0.04,0,5,0.044,0.0400000000000009,0.2271536670009657,277.3626741742782,12.99,22.727272727272727,False
most,13.14,13.38,0.24,0.02,0,4,0.06,0.0199999999999995,0.1558712315876477,206.18151738603277,13.260000000000002,16.666666666666668,False
of,13.4,13.46,0.06,0.02,0,2,0.03,0.0199999999999995,0.1424320087107002,224.6527901952448,13.43,33.333333333333336,False
my,13.48,13.58,0.1,0.08,0,2,0.05,0.08,0.3295537407401324,215.164333671896,13.53,20.0,False
day,13.66,13.86,0.2,0.04,0,3,0.0666666666666666,0.0400000000000009,0.2854777430040237,189.36014407594243,13.76,15.0,True
in,13.9,13.96,0.06,0.06,0,2,0.03,0.0599999999999987,0.1210463690219566,184.58362168072347,13.93,33.333333333333336,False
front,14.02,14.2,0.18,0.0,0,5,0.036,0.0,0.1922215068775052,186.2736357911463,14.11,27.77777777777778,False
of,14.2,14.26,0.06,0.04,0,2,0.03,0.0400000000000009,0.0656205388044963,168.65842162613512,14.23,33.333333333333336,False
computers,14.3,14.92,0.62,0.76,0,9,0.0688888888888888,0.7599999999999998,0.1209261994843932,193.10741171962903,14.61,14.516129032258064,True
so,15.68,15.78,0.1,0.04,0,2,0.05,0.0400000000000009,0.1732106380322649,312.773190988313,15.73,20.0,False
i,15.82,15.86,0.04,0.06,0,1,0.04,0.0600000000000005,0.3915671590970655,313.1928980862242,15.84,25.0,False
tend,15.92,16.1,0.18,0.04,0,4,0.045,0.0399999999999991,0.1461909979667098,187.81843097637676,16.01,22.22222222222222,False
to,16.14,16.2,0.06,0.04,0,2,0.03,0.0399999999999991,0.2476569213389294,173.5801766977378,16.17,33.333333333333336,False
take,16.24,16.4,0.16,0.06,0,4,0.04,0.0600000000000022,0.242172707864842,297.4285929654477,16.32,25.0,False
shotgun,16.46,16.92,0.46,0.04,0,7,0.0657142857142857,0.0399999999999991,0.2842136814460272,188.7699905601665,16.69,15.217391304347826,True
whenever,16.96,17.22,0.26,0.0,0,8,0.0325,0.0,0.353009970419615,197.98265034042132,17.09,30.769230769230766,False
i,17.22,17.28,0.06,0.06,0,1,0.06,0.0599999999999987,0.3008828646603942,191.16411779283757,17.25,16.666666666666668,False
